전원의  행진	promenade
마차와 구종	turnout
마차용 무덮개	carriage wrapper
마차의 마부	cabdriver
마찬가지	The same
마찬가지로	ditto, likewise, in the same manner
마찬가지의	same
마찰	(摩擦) Rubbing, chafing
마찰 감소 볼	friction ball
마찰 발광	triboluminescence
마찰 발음	stridulation
마찰 브레이크	friction brake
마찰 연축기	friction clutch
마찰 있는	abrasive
마찰 전기의	triboelectric
마찰 전동 장치	friction gearing
마찰 접합	friction coupling
마찰계	tribometer
마찰공학	tribology
마찰기어	friction gear
마찰력	(摩擦力) NULL
마찰로 생기는	fricative
마찰로 일어나는	frictional
마찰륜	friction pulley
마찰륜	friction wheel
마찰막이	chafing gear
마찰성냥	friction match
마찰손실	friction loss
마찰을 감소시키는	antifriction
마찰음	fricative
마찰음	stridulation
마찰음의	spirant
마찰의	frictional
마찰적	(摩擦的) NULL
마찰적 실업	frictional unemployment
마찰전기	triboelectricity
마찰하다	(摩擦) rub
마천루	(摩天樓) skyscraper
마초	chaff, fodder, forage, stover
마초 징발 대원	forager
마초를 주다	forage
마초를 찾아 다니다	forage
마초좋은 기회를 놓지치 말라	Make  hay   while the wun shines
마춤의	madetoorder
마취	(痲醉-) anesthesia, anesthetization, narcotism
마취 상태	anesthetization
마취과	(痲醉科) NULL
마취된	poppied
마취를 걸다	anesthetize
마취목	arbutus
마취분석	narconalysis
마취사	anesthetist
마취성의	narcotic
마취시키는	stupefacient
마취시키다	drug, narcotize, stupefy
마취약	narcotic, anesthetic
마취약의	narcotic
마취의	anesthetic
마취의 뜻	narc
마취의 뜻	narco
마취제	(痲醉劑-) anesthetic, opiate, pentothal, stupefacient
마취제를 타다	hocus
마취제를 투여하다	narcotize
마취제중독	narcotism
마치	As though, as if
마치 같이	like
마치다	Finish, complete
마침	Just, exactly
마침 좋은 때에	seasonably
마침내	Finally, in the end
마침표	close
마침표	period
마카로니	macaroni
마카로니에 치즈가루를 쳐서 구운 요리	macroni cheese
마카롱	macaroon
마카베공	Maccabaeus
마카베오서	Maccabees
마카사르 향유	macassar
마케도니아	Macedonia
마케도니아 지방의	Macedonia
마케도니아의	macedonian
마케도니아의왕	Alexander
마케도니아인	macedonian
마케팅	marketing
마케팅 담당자	marketer
마케팅 매니저시장 분석 , 제품 계획 , 판매 촉진 등의 활동을 통제하는 업무의 담당자	marketing manager
마케팅 믹스	marketing mix
마케팅 전략	marketing strategy
마케팅 정보 시스템	marketing information system
마케팅 프로세스	marketing process
마켓 바스켓	market basket
마코 앵무새	macaw
마크	a company logo 
마크라메레이스	macrame
마크하다	to cover
마키 대원	maquisard
마키아벨리주의	machiavellism
마킹펜	marking pen
마태	Mattew
마테차 그릇	mate
마테차 나무	mate
마테차잎	mate
마텐자이트	martensite
마티네	matinee
마티네 코트	matinee coat(jacket)
마티에르	matter (opp, spirit, mind)
마티코	matico
마파두부	(麻婆豆腐) NULL
마파람	souther
마페이 소우주	Maffei galaxy
마편초속의 다년초	vervain
마편초속의 식물	verbena
마포	(麻布) NULL
마푸토	Maputo
마피아 단원	mafioso
마피아 연구	Mafiology
마피아단	the Maffia
마피아의 일원	mafiosi
마피아학	Mafiology
마필 운송용 트레일러	horse trailor
마하	)  Mach   one
마하계	Machmeter
마하바라다	Mahabharata
마하수	Mach number
마하수	mach number
마합	mussel
마호가니	mahogany
마호가니류	satinwood
마호가니의 일종	baywood
마호메트	mohammed
마호메트교	Islam
마호멧의 탄생지	Mecca
마흔	Forty (years old)
막	(幕) curtain, screen, veil
막	(藐) booth, temporary shelter
막	Carelessly, at random ; (2) at exactly that time
막	Just now
막간	interact, interlude
막간극	interact
막간여흥	an interlude
막간연예	an intermezzo
막강	(莫强) doing all-out and can`t do any more
막강하다	the strongest of the strong
막걸리	A slightly bitter soju drink
막구름	storm clouds
막급	(莫及) at an extreme level
막깎기	crop
막깎다	crop
막끽하다	(滿喫) to make satisfied, to satiate
막낭	capsule
막내	The lastborn
막내딸	youngest daughter
막내아들	the youngest son
막내아이	the youngest child
막노동	(­勞動) physical labor
막노동하다	every kind of hard labor imaginable
막다	Stop, obstruct
막다르다	to be closed at the end, to not be open-ended
막다름	an impasse, a stalemate
막달라	Magdala
막달레니안기	of the Magdalenian period
막대	(莫大) rod, stave
막대기	a cane, a pole, a staff
막대패	fore plane
막대하다	copious, enormous, immense, incalculable, infinite, vast
막도장	a sigil (used for painting? sealing?)
막돼먹은	raffish
막되다	to have no manners, a wild boy or person
막론	(莫論) to go without question, no need for words
막론하고	(莫論) to go without question, certainly
막론하다	to go without question, no need for words
막료	(幕僚) NULL
막막	(寞寞) to be solitary and lonely
막막	(漠漠) to be vast and expansive
막막궁산	(寞寞窮山) a lonely, quiet place in the mountains
막막히	lonely, solitary
막말	rough talk
막무가내	(莫無可奈) obstinate
막바지	the last extremity, the very end ; the end of a blind alley
막벌이	a day laborer
막벽	a curtain wall, a curtain
막사	(幕舍-) barracks, camp, a casern(e)
막사기	stone
막상	Really, actually
막상막하	(莫上莫下) I cannot tell which is on top and which is below
막새	antefix
막설탕	panocha
막아내다	stay
막역	(莫逆) NULL
막역지우	(莫逆之友) best friends which never go against each other
막연	(漠然) vague, not clear
막연하다	(漠然) faint, obscure, a far-off voice
막연히	(漠然) indefinitely, vaguely
막일꾼	factotum
막자	a muller, a pestle
막장	the be all and end all
막장	the end of a mine shaft
막전극	carpenter(`s) scene
막중하다	(莫重) a heavy burden, things of great import
막질	scarious
막천석지	(幕天席地) NULL
막판	eleventh hour, end game
막피	membrane
막하	(幕下) NULL
막후	(幕後) NULL
막히다	to be stopped up
막힘	a deadlock, a standstill
만	only, just
만	Just, full
만	As many as, full, complete
만	To be of sufficient quantity
만	10000
만	10000
만 1년	calendar year
만 것	furl
만 모양으로 하다	embay
만 모양의것	embayment
만 안에 넣다	embay
만 안에 들여 보내다	embay
만 안의 섬	Staten Island
만 하면 된다	have only  to (do)
만 형성	embayment
만가	(輓歌) dirge, elegy, requiem
만가의	elegiac
만가형식의 시가	elegiac
만각	(晩覺) NULL
만각류의	cirripede
만각류의 동물	cirripede
만감	(萬感) NULL
만개	(滿開) flower
만개형	(滿開型) NULL
만건곤	(滿乾坤) absolutely full of
만경창파	(萬頃蒼波) the wide, blue ocean. 만 이랑(furrows [crops])의 푸른 물결.
만고	(萬古) NULL
만고기	roll
만고불변	(萬古不變) NULL
만고상청	(萬古常靑) NULL
만고풍상	(萬古風霜) NULL
만곡	(彎曲) curvature, incurvation, an incurve, sinuosity
만곡된	incurvate
만곡보	bight
만곡부	curve in a woman's body
만곡부	a staircase ramp
만곡부	a bight, a bilge, a bow or curve, sinuosity
만곡시키다	curve, incurvate
만곡하다	curve
만곡한	curved
만과집	vesperal
만구성비	(萬口成碑) 만구 (the mouths of many people) + 성비 (비석을 이루다 (비석: a tombstone)  = the many mouths are praising (많은 사람이 칭찬하게 되면) 명성이 알려진다 (명성: fame, being famous)
만구일담	(萬口一談) NULL
만국	(萬國) NULL
만국 우표 연합	Universal Postal Union
만국기	the flags of all the different countries in front of NATO headquarters
만국의	international
만군	(滿軍) NULL
만근	(滿勤) NULL
만기	(滿期) completion, expiry, maturity, termination
만기 제대의	timeexpired
만기 제대하다	ETS
만기가 되다	expire, mature
만기가 된	mature
만기일	(滿期日) NULL
만끽	(滿喫) satiety
만나	manna
만나나무	manna ash
만나다	Meet
만나지 못하다	miss2
만난을 무릅쓰고	thick
만난을 무릅쓰고 무슨 일이 있어도 꼭	at all  hazard  s
만날	everyday, all the time
만날 약속	date
만날 약속	tryst
만날만	(萬-萬) NULL
만남	A meeting
만년	(晩年) old age. the winter of one`s life, the afteryears
만년	(萬年) eternity, perpetuity 
만년설	ice cap, snow field, snowfield
만년필	(萬年筆) a fountain pen
만녈설	firn
만능	(萬能) universality
만능 갈고리	trammel
만능 보궐 선수	utility man
만능 열쇠	master key
만능 플러그	wanderplug
만능약	azoth
만능약	cure-all
만능인	(萬能人) NULL
만능주의	(萬能主義) NULL
만다라	mandala
만다린 칼라	mandarin collar
만단수심	(萬端愁心) NULL
만담	meandering
만담	ramble
만당	(晩唐) NULL
만도	evensong
만도	vesper
만돌라	mandola
만돌린 주자	mandolinist
만두	(饅頭) Chinese dumplings
만두형	echinus
만둣	(饅頭) NULL
만들기	making
만들다	To make
만들수 있는	fabricable
만들어 냄	coinage
만들어낸	madeup
만들어낸 이야기	come-on
만들어져 있는	ready-made
만들어지다	Make, create
만듦새	the way sth is built or made
만료	(滿了) completion, expiration
만료되다	(滿了) to come to a close, be finished, to be over
만루	full base
만루 홈런	grand slam
만루 홈런	grand slammer
만루의	basesloaded
만류	(挽留) telling somebody that that's enough
만류하다	(挽留) to block, to stop
만리 장성	Chinese Wall
만리장성	the Great Wall of China
만리타국	(萬里他國) NULL
만리타향	(萬里他鄕) a far-away foreign land
만마당	pandemonium
만만	(滿滿) NULL
만만부당	(萬萬不當) NULL
만만세	(萬萬歲) NULL
만만찮은	formidable
만만찮은적	gutfighter
만만치가 아니다	to not be easy, to be difficult (usually involves doing sth with the body that`s taxing)
만만하다	Be soft, tender ; to be easy to handle, deal with
만만하다	to be full of ambition, vigor, positive outlook
만면	(滿面) NULL
만면희색	(滿面喜色) NULL
만무	(萬無) (usually follows 리) what precedes this expression, well, it`s just absolutely not true
만무하다	(萬無) to go without reason, to go as unquestionable
만물	(萬物) creation
만물	(萬物) universe
만물박사	(萬物博士) NULL
만물상	(萬物商) NULL
만물융해약	alkahest
만물을 창조하는	omnific
만물의 송	benedicite
만민	(萬民) NULL
만민구제	restoration
만민구제설	restoration
만민평등	(萬民平等) all people are equal
만반	(萬般) all sorts of things
만발	(滿發) many flowers blooming at once
만발하다	(滿發) fullblown, broadblown
만방	(萬方) NULL
만방	(萬邦) NULL
만범	full sail
만병	(萬病) NULL
만병 통치약	a cure-all, elixir, a panacea
만병통치	(萬病通治) NULL
만병통치약	(萬病通治藥-) catholicon
만병통치약	(萬病通治藥) nostrum
만보	meandering, a rambling stroll
만보하다	taking a leisurely ramble/stroll
만복	bellyful, to be full
만빵	roll
만사	(萬事) everything
만사여의	(萬事如意) NULL
만사의 결말	endall
만사천	(萬四千) NULL
만사태평	(萬事太平) completely calm
만사형통	(萬事亨通) 모든 일이 뜻하는 대로 잘 이루어지다
만사휴의	(萬事休矣) NULL
만삭	(滿朔) NULL
만삼천	(萬三千) NULL
만삼천팔백	(萬三千八百) NULL
만상	(萬象) NULL
만새기	dorado
만석	(萬石) NULL
만선	(滿船) NULL
만선	(萬善) NULL
만성	(慢性-) chronic (e.g. a chronic disease), inveteracy (difficult to root out)
만성	(晩成) slow in maturing
만성비염	bullnose
만성인	confirmed
만성적	(慢性的) NULL
만성적인	chronic
만성화	(慢性化) NULL
만세	(萬歲) cowabunga, heil, rah, ray, yippee
만세	(萬歲) 10,000 years
만세력	perpetual calender
만세를 부르다	ray
만세불역	(萬世不易) NULL
만세하고 외치다	hurrah
만수무강	(萬壽無疆) 수명이 한없이 길다
만수위	(滿水位) NULL
만숙형	(晩熟型) NULL
만승지국	(萬乘之國) NULL
만시지탄	(晩時之歎) NULL
만식당육	(晩食當肉) NULL
만신	(滿身) NULL
만신전	pantheon
만신창이	(滿身瘡痍) NULL
만약	(萬若) If
만약의 문제	whatif
만약이 아니면	unless
만에 하나의 가능성	offchance
만연	(蔓延) overrun, rampancy
만연체형	(蔓衍體型) NULL
만연하다	(蔓延) infest, rampantly, rampant
만연히	(蔓延) desultorily
만오천	(萬五千) NULL
만용	(蠻勇) animal courage, balls, temerity, courage
만우절	(萬愚節) April first, fool's day
만원	(滿員) full house
만월	(滿月) full moon
만월의	fullorbed
만유	cruise
만유	wandering
만유 신교의	pantheistic
만유 지식의	pansophic
만유내재신론	panentheism
만유의	universal
만유인력	(萬有引力) gravity
만유자	cruiser
만유지식	pansophism
만육천	(萬六千) NULL
만의	myriad
만인	(萬人) any and everyone
만인지상	(萬人之上) NULL
만일	(萬一) If, suppose
만일 이라면	provided
만일의 경우	eventuality
만일의 경우	rainy day
만일의경우	need
만입부	(灣入部) NULL
만입시키다	indent
만자	fylfot
만자	swastika
만자니야	manzanilla
만자무늬	fret
만자형 세공으로 하다	fret
만장	(滿場) NULL
만장	(輓章) NULL
만장 일치	unanimity
만장 일치로	neminecontradicente
만장의사람들	roomful
만장일치	(滿場一致) a unanimous consensus
만재	(滿載) NULL
만재 배수량	load displacement
만재홀 수선	load line
만전	(萬全) NULL
만전지계	(萬全之計) NULL
만전지책	(萬全之策)  아주 안전하거나 완전한 계책. 조금의 허술함도 없는 완전한 대책 <br/> <br/>허술하다: to be slack, not tight, loose <br/> <br/>the above is from <a href=`http://peerhs.com.ne.kr/gosa/ma8.html`>http://peerhs.com.ne.kr/gosa/ma8.html</a>
만점	(滿點) Perfect score
만져 보아도 알수없는	impalpable
